Model,MSO2024
Firmware Version,1.35

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,1e-05,
Sample Interval,1e-09,
Filter Frequency,2e+08,
Record Length,100000,
Gating,48.99900% to 51.00%,48.99900% to 51.00%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,1,5
Label,,
TIME,CH1,CH2
-2.16000e-07,-0.02,0.5
-2.15000e-07,0.02,0.3
-2.14000e-07,-0.02,0.3
-2.13000e-07,-0.02,0.3
-2.12000e-07,-0.02,0.3
-2.11000e-07,-0.02,0.3
-2.10000e-07,-0.02,0.3
-2.09000e-07,0.02,0.3
-2.08000e-07,-0.02,0.3
-2.07000e-07,0.02,0.3
-2.06000e-07,-0.02,0.3
-2.05000e-07,0.02,0.3
-2.04000e-07,-0.02,0.3
-2.03000e-07,0.02,0.3
-2.02000e-07,-0.06,0.3
-2.01000e-07,0.02,0.3
-2.00000e-07,-0.02,0.3
-1.99000e-07,0.02,0.3
-1.98000e-07,-0.02,0.3
-1.97000e-07,0.02,0.3
-1.96000e-07,-0.02,0.3
-1.95000e-07,0.02,0.3
-1.94000e-07,-0.02,0.3
-1.93000e-07,0.02,0.3
-1.92000e-07,-0.02,0.3
-1.91000e-07,0.02,0.5
-1.90000e-07,-0.02,0.3
-1.89000e-07,-0.02,0.3
-1.88000e-07,-0.02,0.3
-1.87000e-07,-0.02,0.3
-1.86000e-07,-0.02,0.3
-1.85000e-07,-0.02,0.3
-1.84000e-07,-0.02,0.5
-1.83000e-07,0.02,0.3
-1.82000e-07,-0.02,0.3
-1.81000e-07,0.02,0.3
-1.80000e-07,-0.02,0.3
-1.79000e-07,0.02,0.3
-1.78000e-07,-0.02,0.3
-1.77000e-07,0.02,0.3
-1.76000e-07,-0.02,0.3
-1.75000e-07,-0.02,0.3
-1.74000e-07,-0.02,0.3
-1.73000e-07,0.02,0.3
-1.72000e-07,-0.02,0.3
-1.71000e-07,-0.02,0.3
-1.70000e-07,-0.02,0.3
-1.69000e-07,0.02,0.3
-1.68000e-07,-0.02,0.3
-1.67000e-07,-0.02,0.3
-1.66000e-07,-0.02,0.3
-1.65000e-07,-0.02,0.3
-1.64000e-07,-0.02,0.5
-1.63000e-07,-0.02,0.3
-1.62000e-07,-0.02,0.5
-1.61000e-07,-0.02,0.3
-1.60000e-07,-0.02,0.5
-1.59000e-07,-0.02,0.3
-1.58000e-07,-0.02,0.3
-1.57000e-07,-0.02,0.3
-1.56000e-07,-0.02,0.5
-1.55000e-07,-0.02,0.5
-1.54000e-07,-0.02,0.5
-1.53000e-07,0.02,0.5
-1.52000e-07,-0.02,0.5
-1.51000e-07,0.02,0.5
-1.50000e-07,-0.02,0.5
-1.49000e-07,-0.02,0.3
-1.48000e-07,-0.02,0.5
-1.47000e-07,0.02,0.3
-1.46000e-07,-0.02,0.5
-1.45000e-07,0.02,0.3
-1.44000e-07,-0.02,0.3
-1.43000e-07,-0.02,0.3
-1.42000e-07,-0.02,0.3
-1.41000e-07,-0.02,0.3
-1.40000e-07,-0.02,0.3
-1.39000e-07,-0.02,0.3
-1.38000e-07,-0.02,0.3
-1.37000e-07,-0.02,0.3
-1.36000e-07,-0.02,0.5
-1.35000e-07,-0.02,0.3
-1.34000e-07,-0.02,0.5
-1.33000e-07,-0.02,0.3
-1.32000e-07,-0.02,0.5
-1.31000e-07,-0.02,0.3
-1.30000e-07,-0.02,0.3
-1.29000e-07,0.02,0.3
-1.28000e-07,-0.02,0.3
-1.27000e-07,0.02,0.3
-1.26000e-07,-0.02,0.3
-1.25000e-07,-0.02,0.3
-1.24000e-07,-0.02,0.5
-1.23000e-07,0.02,0.5
-1.22000e-07,-0.02,0.3
-1.21000e-07,0.02,0.3
-1.20000e-07,-0.02,0.3
-1.19000e-07,0.02,0.3
-1.18000e-07,-0.02,0.3
-1.17000e-07,0.02,0.3
-1.16000e-07,-0.02,0.3
-1.15000e-07,-0.02,0.3
-1.14000e-07,-0.02,0.3
-1.13000e-07,-0.02,0.5
-1.12000e-07,-0.02,0.3
-1.11000e-07,-0.02,0.3
-1.10000e-07,-0.02,0.5
-1.09000e-07,-0.02,0.3
-1.08000e-07,-0.02,0.5
-1.07000e-07,-0.02,0.3
-1.06000e-07,-0.02,0.5
-1.05000e-07,0.02,0.3
-1.04000e-07,-0.02,0.5
-1.03000e-07,0.02,0.5
-1.02000e-07,-0.02,0.5
-1.01000e-07,-0.02,0.5
-1.00000e-07,-0.02,0.5
-9.90000e-08,-0.02,0.5
-9.80000e-08,-0.02,0.5
-9.70000e-08,-0.02,0.5
-9.60000e-08,0.02,0.5
-9.50000e-08,0.02,0.3
-9.40000e-08,-0.02,0.5
-9.30000e-08,-0.02,0.3
-9.20000e-08,-0.02,0.3
-9.10000e-08,-0.02,0.3
-9.00000e-08,-0.02,0.5
-8.90000e-08,-0.02,0.3
-8.80000e-08,-0.02,0.5
-8.70000e-08,0.02,0.3
-8.60000e-08,-0.02,0.5
-8.50000e-08,0.02,0.3
-8.40000e-08,-0.02,0.3
-8.30000e-08,-0.02,0.3
-8.20000e-08,0.02,0.3
-8.10000e-08,0.22,0.3
-8.00000e-08,0.54,0.3
-7.90000e-08,1.1,0.5
-7.80000e-08,1.7,0.5
-7.70000e-08,2.3,0.3
-7.60000e-08,2.62,0.5
-7.50000e-08,2.82,0.3
-7.40000e-08,2.82,0.3
-7.30000e-08,2.82,0.3
-7.20000e-08,2.78,0.3
-7.10000e-08,2.82,0.3
-7.00000e-08,2.78,0.3
-6.90000e-08,2.74,0.3
-6.80000e-08,2.38,0.3
-6.70000e-08,1.82,0.3
-6.60000e-08,1.14,0.3
-6.50000e-08,0.58,0.3
-6.40000e-08,0.18,0.3
-6.30000e-08,0.1,0.5
-6.20000e-08,0.06,0.5
-6.10000e-08,0.1,0.5
-6.00000e-08,0.1,0.3
-5.90000e-08,0.1,0.3
-5.80000e-08,0.02,0.3
-5.70000e-08,0.02,0.3
-5.60000e-08,-0.02,0.3
-5.50000e-08,0.02,0.3
-5.40000e-08,0.06,0.3
-5.30000e-08,0.1,0.3
-5.20000e-08,0.06,0.3
-5.10000e-08,0.06,0.3
-5.00000e-08,0.02,0.3
-4.90000e-08,0.02,0.3
-4.80000e-08,-0.02,0.5
-4.70000e-08,0.02,0.7
-4.60000e-08,-0.02,1.1
-4.50000e-08,0.02,1.5
-4.40000e-08,-0.02,1.9
-4.30000e-08,0.02,2.3
-4.20000e-08,-0.02,2.5
-4.10000e-08,0.02,2.5
-4.00000e-08,-0.02,2.7
-3.90000e-08,-0.02,2.7
-3.80000e-08,-0.02,2.7
-3.70000e-08,0.02,2.7
-3.60000e-08,-0.02,2.7
-3.50000e-08,0.02,2.5
-3.40000e-08,-0.02,2.1
-3.30000e-08,0.02,1.7
-3.20000e-08,-0.02,1.3
-3.10000e-08,0.02,0.9
-3.00000e-08,0.02,0.7
-2.90000e-08,0.02,0.5
-2.80000e-08,-0.02,0.5
-2.70000e-08,-0.02,0.5
-2.60000e-08,-0.02,0.5
-2.50000e-08,-0.02,0.5
-2.40000e-08,-0.02,0.5
-2.30000e-08,0.02,0.3
-2.20000e-08,0.02,0.3
-2.10000e-08,0.02,0.5
-2.00000e-08,-0.02,0.5
-1.90000e-08,-0.02,0.5
-1.80000e-08,-0.02,0.5
-1.70000e-08,-0.02,0.5
-1.60000e-08,-0.02,0.5
-1.50000e-08,-0.02,0.3
-1.40000e-08,-0.1,0.5
-1.30000e-08,-0.14,0.5
-1.20000e-08,-0.22,0.3
-1.10000e-08,-0.26,0.5
-1.00000e-08,-0.3,0.5
-9.00000e-09,-0.3,0.5
-8.00000e-09,-0.3,0.5
-7.00000e-09,-0.26,0.5
-6.00000e-09,-0.26,0.5
-5.00000e-09,-0.26,0.3
-4.00000e-09,-0.26,0.5
-3.00000e-09,-0.22,0.3
-2.00000e-09,-0.18,0.5
-1.00000e-09,-0.06,0.3
-1.47404e-20,0.02,0.5
1.00000e-09,0.06,0.3
2.00000e-09,0.06,0.3
3.00000e-09,0.06,0.3
4.00000e-09,0.02,0.3
5.00000e-09,0.02,0.5
6.00000e-09,-0.02,0.5
7.00000e-09,-0.02,0.3
8.00000e-09,-0.02,0.5
9.00000e-09,0.02,0.3
1.00000e-08,-0.06,0.5
1.10000e-08,-0.02,0.3
1.20000e-08,-0.06,0.3
1.30000e-08,-0.02,0.3
1.40000e-08,-0.02,0.3
1.50000e-08,0.02,0.3
1.60000e-08,0.02,0.3
1.70000e-08,0.02,0.3
1.80000e-08,-0.02,0.3
1.90000e-08,0.02,0.3
2.00000e-08,-0.02,0.5
2.10000e-08,0.02,0.3
2.20000e-08,-0.02,0.5
2.30000e-08,0.02,0.3
2.40000e-08,0.02,0.5
2.50000e-08,0.02,0.5
2.60000e-08,-0.02,0.5
2.70000e-08,0.02,0.5
2.80000e-08,-0.02,0.3
2.90000e-08,0.02,0.3
3.00000e-08,-0.02,0.3
3.10000e-08,-0.02,0.3
3.20000e-08,-0.02,0.3
3.30000e-08,-0.02,0.3
3.40000e-08,-0.02,0.3
3.50000e-08,-0.02,0.5
3.60000e-08,-0.02,0.5
3.70000e-08,-0.02,0.3
3.80000e-08,-0.02,0.5
3.90000e-08,-0.02,0.3
4.00000e-08,-0.02,0.5
4.10000e-08,-0.02,0.3
4.20000e-08,-0.02,0.5
4.30000e-08,0.02,0.3
4.40000e-08,0.02,0.5
4.50000e-08,0.02,0.3
4.60000e-08,0.02,0.3
4.70000e-08,0.02,0.3
4.80000e-08,0.02,0.5
4.90000e-08,0.02,0.3
5.00000e-08,-0.02,0.5
5.10000e-08,-0.02,0.3
5.20000e-08,0.02,0.5
5.30000e-08,0.02,0.3
5.40000e-08,-0.02,0.3
5.50000e-08,0.02,0.3
5.60000e-08,-0.02,0.5
5.70000e-08,-0.02,0.3
5.80000e-08,-0.02,0.3
