Model,MSO2024
Firmware Version,1.35

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,1e-05,
Sample Interval,1e-09,
Filter Frequency,2e+08,
Record Length,100000,
Gating,49.49900% to 50.500%,49.49900% to 50.500%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,2,5
Label,,
TIME,CH1,CH2
1.48000e-07,-0.12,0.4
1.49000e-07,-0.04,0.4
1.50000e-07,-0.04,0.4
1.51000e-07,-0.04,0.4
1.52000e-07,-0.04,0.4
1.53000e-07,-0.04,0.4
1.54000e-07,-0.04,0.4
1.55000e-07,-0.04,0.4
1.56000e-07,-0.04,0.4
1.57000e-07,-0.04,0.4
1.58000e-07,-0.12,0.4
1.59000e-07,-0.04,0.4
1.60000e-07,-0.12,0.4
1.61000e-07,-0.12,0.4
1.62000e-07,-0.12,0.4
1.63000e-07,-0.04,0.4
1.64000e-07,-0.12,0.4
1.65000e-07,-0.04,0.4
1.66000e-07,-0.12,0.4
1.67000e-07,-0.04,0.4
1.68000e-07,-0.04,0.4
1.69000e-07,-0.04,0.2
1.70000e-07,-0.04,0.4
1.71000e-07,-0.04,0.4
1.72000e-07,-0.12,0.4
1.73000e-07,-0.04,0.4
1.74000e-07,-0.04,0.4
1.75000e-07,-0.04,0.4
1.76000e-07,-0.04,0.4
1.77000e-07,-0.04,0.4
1.78000e-07,-0.04,0.4
1.79000e-07,-0.04,0.4
1.80000e-07,-0.12,0.2
1.81000e-07,-0.04,0.4
1.82000e-07,-0.12,0.4
1.83000e-07,-0.04,0.4
1.84000e-07,-0.04,0.4
1.85000e-07,-0.04,0.4
1.86000e-07,-0.04,0.4
1.87000e-07,-0.04,0.4
1.88000e-07,-0.04,0.4
1.89000e-07,-0.04,0.4
1.90000e-07,-0.04,0.4
1.91000e-07,-0.04,0.4
1.92000e-07,-0.12,0.4
1.93000e-07,-0.04,0.4
1.94000e-07,-0.12,0.4
1.95000e-07,-0.04,0.4
1.96000e-07,-0.12,0.4
1.97000e-07,-0.04,0.4
1.98000e-07,-0.04,0.4
1.99000e-07,-0.04,0.4
2.00000e-07,-0.12,0.4
2.01000e-07,-0.04,0.4
2.02000e-07,-0.12,0.4
2.03000e-07,-0.04,0.4
2.04000e-07,-0.12,0.4
2.05000e-07,-0.04,0.4
2.06000e-07,-0.12,0.4
2.07000e-07,-0.04,0.2
2.08000e-07,-0.12,0.4
2.09000e-07,-0.04,0.4
2.10000e-07,-0.12,0.4
2.11000e-07,-0.04,0.4
2.12000e-07,-0.12,0.4
2.13000e-07,-0.04,0.4
2.14000e-07,-0.12,0.4
2.15000e-07,-0.04,0.4
2.16000e-07,-0.12,0.2
2.17000e-07,-0.04,0.4
2.18000e-07,-0.04,0.2
2.19000e-07,-0.04,0.4
2.20000e-07,-0.04,0.4
2.21000e-07,-0.04,0.4
2.22000e-07,-0.04,0.4
2.23000e-07,-0.12,0.4
2.24000e-07,-0.12,0.4
2.25000e-07,-0.04,0.4
2.26000e-07,-0.12,0.4
2.27000e-07,-0.04,0.4
2.28000e-07,-0.12,0.4
2.29000e-07,-0.04,0.4
2.30000e-07,-0.12,0.4
2.31000e-07,-0.04,0.4
2.32000e-07,-0.04,0.4
2.33000e-07,0.04,0.4
2.34000e-07,-0.04,0.4
2.35000e-07,0.04,0.4
2.36000e-07,-0.04,0.4
2.37000e-07,-0.04,0.4
2.38000e-07,-0.12,0.4
2.39000e-07,-0.04,0.4
2.40000e-07,-0.12,0.4
2.41000e-07,-0.04,0.4
2.42000e-07,-0.12,0.4
2.43000e-07,-0.04,0.4
2.44000e-07,-0.12,0.4
2.45000e-07,-0.04,0.4
2.46000e-07,-0.12,0.2
2.47000e-07,-0.12,0.4
2.48000e-07,-0.12,0.2
2.49000e-07,-0.04,0.4
2.50000e-07,-0.12,0.4
2.51000e-07,-0.12,0.4
2.52000e-07,-0.12,0.4
2.53000e-07,-0.04,0.4
2.54000e-07,-0.12,0.4
2.55000e-07,-0.04,0.4
2.56000e-07,-0.04,0.4
2.57000e-07,-0.04,0.4
2.58000e-07,-0.04,0.4
2.59000e-07,-0.04,0.4
2.60000e-07,-0.04,0.4
2.61000e-07,-0.04,0.4
2.62000e-07,-0.12,0.4
2.63000e-07,-0.12,0.4
2.64000e-07,-0.12,0.4
2.65000e-07,-0.04,0.4
2.66000e-07,-0.04,0.4
2.67000e-07,-0.04,0.4
2.68000e-07,-0.12,0.4
2.69000e-07,-0.04,0.4
2.70000e-07,-0.12,0.4
2.71000e-07,-0.04,0.2
2.72000e-07,-0.04,0.4
2.73000e-07,-0.04,0.4
2.74000e-07,-0.12,0.4
2.75000e-07,-0.04,0.4
2.76000e-07,-0.12,0.4
2.77000e-07,-0.04,0.4
2.78000e-07,-0.12,0.4
2.79000e-07,-0.04,0.4
2.80000e-07,-0.12,0.4
2.81000e-07,-0.04,0.4
2.82000e-07,-0.12,0.4
2.83000e-07,-0.12,0.4
2.84000e-07,-0.12,0.4
2.85000e-07,-0.12,0.2
2.86000e-07,-0.12,0.4
2.87000e-07,-0.12,0.4
2.88000e-07,-0.12,0.4
2.89000e-07,-0.04,0.4
2.90000e-07,-0.04,0.4
2.91000e-07,-0.04,0.4
2.92000e-07,-0.04,0.4
2.93000e-07,-0.04,0.4
